Date,Price,Open,High,Low,Vol.,Change %
1/1/2016,434,429,437,426,12.97K,1.16%
1/2/2016,433,434,436,430,6.38K,-0.29%
1/3/2016,429,433,433,422,19.18K,-0.93%
1/4/2016,433,429,436,427,13.02K,0.99%
1/5/2016,432,433,435,428,11.22K,-0.24%
1/6/2016,428,432,432,425,8.74K,-0.89%
1/7/2016,459,429,462,427,55.66K,7.26%
1/8/2016,454,459,465,447,30.45K,-1.10%
1/9/2016,449,454,456,448,8.76K,-1.05%
1/10/2016,449,449,450,441,13.75K,0.03%
1/11/2016,449,449,453,444,14.81K,-0.02%
1/12/2016,432,449,450,429,20.66K,-3.83%
1/13/2016,431,432,436,416,33.24K,-0.22%
1/14/2016,429,431,435,426,13.30K,-0.42%
1/15/2016,359,429,429,358,123.88K,-16.40%
1/16/2016,388,359,392,353,74.07K,8.24%
1/17/2016,382,388,393,379,20.63K,-1.63%
1/18/2016,387,382,389,375,19.55K,1.30%
1/19/2016,379,387,388,377,17.19K,-2.09%
1/20/2016,419,379,428,375,82.80K,10.67%
1/21/2016,411,420,425,405,29.03K,-2.01%
1/22/2016,381,411,411,371,62.21K,-7.31%
1/23/2016,386,381,394,380,21.47K,1.21%
1/24/2016,403,386,407,385,23.22K,4.46%
1/25/2016,391,403,403,384,22.66K,-2.93%
1/26/2016,391,391,398,388,13.32K,0.09%
1/27/2016,395,391,397,390,8.54K,0.93%
1/28/2016,378,395,396,376,25.03K,-4.20%
1/29/2016,378,378,385,360,62.20K,-0.20%
1/30/2016,377,378,381,374,10.50K,-0.18%
1/31/2016,366,377,379,363,14.85K,-3.04%
2/1/2016,371,366,379,363,24.84K,1.62%
2/2/2016,373,371,375,370,10.44K,0.40%
2/3/2016,369,373,374,366,13.20K,-1.05%
2/4/2016,390,369,394,369,37.34K,5.64%
2/5/2016,387,390,393,385,16.90K,-0.84%
2/6/2016,374,387,387,366,40.20K,-3.31%
2/7/2016,372,374,378,369,13.06K,-0.47%
2/8/2016,371,372,377,369,16.88K,-0.41%
2/9/2016,374,371,378,370,9.08K,0.94%
2/10/2016,381,374,387,373,33.67K,1.85%
2/11/2016,378,381,383,372,14.52K,-0.76%
2/12/2016,383,378,384,377,10.15K,1.32%
2/13/2016,393,383,393,383,14.73K,2.61%
2/14/2016,408,393,409,393,29.47K,3.90%
2/15/2016,400,408,413,395,30.13K,-2.06%
2/16/2016,407,400,409,399,13.99K,1.84%
2/17/2016,415,407,422,405,30.40K,1.86%
2/18/2016,422,415,426,413,25.23K,1.60%
2/19/2016,420,422,423,412,13.26K,-0.36%
2/20/2016,439,420,445,420,47.48K,4.45%
2/21/2016,441,439,451,428,43.01K,0.41%
2/22/2016,440,441,443,433,16.34K,-0.05%
2/23/2016,421,440,443,416,32.43K,-4.35%
2/24/2016,426,421,428,411,22.43K,1.24%
2/25/2016,425,426,430,420,13.60K,-0.35%
2/26/2016,435,425,435,420,18.85K,2.45%
2/27/2016,434,436,438,432,11.59K,-0.25%
2/28/2016,435,434,438,422,19.86K,0.06%
2/29/2016,439,435,445,431,20.40K,1.08%
3/1/2016,435,439,443,429,19.63K,-0.99%
3/2/2016,422,435,436,421,16.46K,-2.90%
3/3/2016,421,422,424,416,20.87K,-0.39%
3/4/2016,409,421,424,408,21.75K,-2.79%
3/5/2016,397,409,410,390,46.95K,-2.80%
3/6/2016,404,397,410,392,19.71K,1.65%
3/7/2016,413,404,415,402,15.31K,2.18%
3/8/2016,411,413,416,406,10.23K,-0.33%
3/9/2016,413,411,415,408,9.03K,0.39%
3/10/2016,417,413,417,411,13.71K,0.86%
3/11/2016,421,417,424,416,15.46K,0.96%
3/12/2016,410,421,422,407,17.02K,-2.49%
3/13/2016,412,410,416,410,7.63K,0.44%
3/14/2016,416,412,418,412,9.21K,1.01%
3/15/2016,416,416,419,413,9.63K,-0.12%
3/16/2016,417,416,418,414,7.07K,0.43%
3/17/2016,419,417,421,417,8.31K,0.35%
3/18/2016,408,419,419,403,21.09K,-2.64%
3/19/2016,408,408,411,404,8.96K,0.17%
3/20/2016,411,408,413,408,5.66K,0.70%
3/21/2016,412,411,412,406,7.82K,0.15%
3/22/2016,418,412,419,410,10.20K,1.41%
3/23/2016,418,418,420,416,7.19K,0.10%
3/24/2016,415,418,418,414,7.56K,-0.67%
3/25/2016,416,415,417,413,3.69K,0.17%
3/26/2016,417,416,419,415,5.04K,0.17%
3/27/2016,427,417,431,416,22.33K,2.56%
3/28/2016,424,427,428,422,9.25K,-0.77%
3/29/2016,416,424,426,408,23.30K,-1.95%
3/30/2016,413,416,416,409,9.04K,-0.63%
3/31/2016,416,413,418,413,7.27K,0.68%
